company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
United Launch Alliance,Denver, CO,Computer Science Intern,Aerospace & Defense,1001-5000,1,0,0,0,1,0,1,1,1,0,0,0,0,0
Quotient Technology Inc.,Cincinnati, OH,Data Scientist,Advertising & Marketing,501-1000,1,1,1,1,1,0,1,1,0,0,0,0,0,0
Lawrence Livermore National Laboratory,Livermore, CA,Big Data System Infrastructure Engineer,Federal Agencies,5001-10000,1,0,0,1,1,0,1,1,0,0,0,0,0,0
Hulu,Santa Monica, CA,Data Scientist,TV Broadcast & Cable Networks,1001-5000,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Backcountry,Park City, UT,Data Scientist,"Department, Clothing, & Shoe Stores",501-1000,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Springboard,Remote,#N/A,Data Science Course Mentor,Education Training Services,51-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Consulting Group,Los Angeles, CA,Analyst - Data Science,Consulting,10000+,1,1,1,1,1,1,1,1,0,0,0,0,1,1
Lenovo,Raleigh, NC,Data Scientist,Computer Hardware & Software,10000+,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Eventbrite,San Francisco, CA,Data Scientist,Internet,501-1000,1,1,0,1,0,0,0,0,0,0,0,0,0,0
TD Ameritrade,Jersey City, NJ,"Sr. Analyst, Marketing Data Science",Investment Banking & Asset Management,5001-10000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Packsize,Louisville, KY,Data Software Integrator,Industrial Manufacturing,201-500,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Transdev,Tempe, AZ,Data Scientist,Transportation Management,10000+,1,1,0,0,0,0,0,0,1,0,0,0,1,0
SparkCognition,Austin, TX,Data Science Intern,Enterprise Software & Network Solutions,51-200,1,1,0,0,0,0,0,0,0,0,0,0,1,0
